Collection Terms,Tags,Category_1,Category_2,Category_3
reduced albedo,Shooting,Shooting,,
renewable energy generation,Shooting,Shooting,,
renewable industries,Shooting,Shooting,,
renewable resources,Shooting,Shooting,,
retreating glaciers,Shooting,Shooting,,
smart home,Shooting,Shooting,,
solar cell,Shooting,Shooting,,
solar energy,Shooting,Shooting,,
solar panels,Shooting,Shooting,,
solar power,Shooting,Shooting,,
stewardship,Shooting,Shooting,,
superstorm,Shooting,Shooting,,
supply chain,Shooting,Shooting,,
sustainability,Shooting,Shooting,,
switchgrass,Shooting,Shooting,,
tax incentives,Shooting,Shooting,,
threatened species,Shooting,Shooting,,
tornado,Shooting,Shooting,,
uploading,Shooting,Shooting,,
urban sprawl,Shooting,Shooting,,
urbanization,Shooting,Shooting,,
water pollution,Shooting,Shooting,,
water shortage,Shooting,Shooting,,
wind energy,Shooting,Shooting,,
wind power,Shooting,Shooting,,
wind turbine,Shooting,Shooting,,
wood chips,Shooting,Shooting,,
world temperature,Shooting,Shooting,,
#2015CRF,Shooting,Shooting,,
#2030NOW,Shooting,Shooting,,
@350Australia,Shooting,Shooting,,
@350Pacific,Shooting,Shooting,,
#ActInParis,Shooting,Shooting,,
#action2015,Shooting,Shooting,,
@action4ifaw,Shooting,Shooting,,
#ActionsForClimate,Shooting,Shooting,,
#ActOnClimate,Shooting,Shooting,,
#actonclimate,Shooting,Shooting,,
#AllHands75,Shooting,Shooting,,
#biodiversity,Shooting,Shooting,,
#bleaching,Shooting,Shooting,,
#CGI2015,Shooting,Shooting,,
@CiHawaii,Shooting,Shooting,,
#cleanenergy,Shooting,Shooting,,
#climate,Shooting,Shooting,,
#climateaction,Shooting,Shooting,,
#climatechange,Shooting,Shooting,,
#ClimateFact,Shooting,Shooting,,
#climatefinance,Shooting,Shooting,,
#ClimateHope,Shooting,Shooting,,
@ClimateReality,Shooting,Shooting,,
drug addiction recovery,Natural,Natural,,
#Hoboken,Recovery,Recovery,,
#TyphoonMeranti,National,National,,
#TyphoonMegi,Damage,Damage,,
hurricane wind,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
hurricane evacuation,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
hurricane Miami,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
hurricane Haiti,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
hurricane Bahamas,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
"Florida Power & Light OR ""FPL"" OR ""FP&L""",Hurricane,Hurricane,,
#TyphoonHaima,Natural,Natural,,
#TyphoonLawin,Storm,Storm,,
Colonial Pipeline,Storm,Storm,,
poison ivy,Water,Water,,
Aleppo battle,Compound,Compound,,
Berlin truck Christmas market,War,War,,
Ankara Russian ambassador,Attack,Attack,,
IMF Christine Lagarde convicted,Assassination,Assassination,,
Trump wins Electoral College vote,International,International,,
DC traffic,General,General,,
Peru mudslide,Flood,Flood,,
Peru flood,Rain,Rain,,
Westminster attack,Flood,Flood,,
London attack,Attack,Attack,,
surface water,Attack,Attack,,
water quality,Water,Water,,
#I85BridgeCollapse,Water,Water,,
VT Remembrance,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,
