Collection Terms,Tags,Category_1,Category_2,Category_3
#Istanbul,International,International,,
West Virginia,International,International,,
#SDGsChat,International,International,,
@ThomasGass,International,International,,
#AltonSterling,International,International,,
#PhilandoCastile,Shooting,Shooting,,
Nepartak,Shooting,Shooting,,
#Dallas,Shooting,Shooting,,
Bomb Robot,Shooting,Shooting,,
#DallasPoliceShootings,Shooting,Shooting,,
Police Robot,Shooting,Shooting,,
Shooting video,Shooting,Shooting,,
Facebook live video,Shooting,Shooting,,
Facebook live stream,Shooting,Shooting,,
#BatonRouge,Shooting,Shooting,,
#BlueLiveMatter,Shooting,Shooting,,
#BlackLivesMatter,Shooting,Shooting,,
#BlueLivesMatter,Shooting,Shooting,,
#BlackLiveMatter,Shooting,Shooting,,
Pokemon go,Shooting,Shooting,,
#PokemonGO,Shooting,Shooting,,
#NiceAttack,Shooting,Shooting,,
Mohamed Lahouaiej Bouhlel,Shooting,Shooting,,
Turquía,Shooting,Shooting,,
Yahoo,Shooting,Shooting,,
hrdf,Shooting,Shooting,,
#Thankyouforyourservice,Industrial,Industrial,,
"""2 San Diego""",Industrial,Industrial,,
#KorrynGaines,Industrial,Industrial,,
tulsa shooting,Industrial,Industrial,,
charlotte shooting,Industrial,Industrial,,
police shooting,Industrial,Industrial,,
washington mall shooting,Industrial,Industrial,,
houston shooting,Industrial,Industrial,,
Shooting Hoax,Industrial,Industrial,,
hoboken train crash,Industrial,Industrial,,
hoboken,Industrial,Industrial,,
NJ Transit,Industrial,Industrial,,
Hurricane Matthew,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
#HurricaneMatthew,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
#Matthew,hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
#hurricane,Industrial,Industrial,,
Evacuate,hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
허리케인 매튜,hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
Eyewall,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
storm surge,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
evacuation,hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
bridge closure,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
tunnel closure,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
tunnel closed,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
Palm Beach,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
coast,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
Daytona Beach,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
national hurricane center,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
Miami,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
Haiti,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
Bahamas,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
wind,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
power grid,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
outage duration,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
ice,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
generator,hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
extension cord,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
power system,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
Florida Power Light,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
